Date;Composite_HPI_SA;Single_Family_HPI_SA;One_Storey_HPI_SA;Two_Storey_HPI_SA;Townhouse_HPI_SA;Apartment_HPI_SA;Composite_Benchmark_SA;Single_Family_Benchmark_SA;One_Storey_Benchmark_SA;Two_Storey_Benchmark_SA;Townhouse_Benchmark_SA;Apartment_Benchmark_SA
Jan 2005;100;100;100;100;100;100;333400;463100;362900;536800;264900;202700
Feb 2005;100,4;100,2;100,6;100,1;100,4;100,7;334600;464200;364900;537200;265900;204200
Mar 2005;100,8;100,4;101;100,1;100,7;102;336100;464800;366500;537400;266700;206800
Apr 2005;101,1;100,6;101,3;100,3;101,2;102,7;337000;465800;367500;538300;268200;208100
May 2005;101,5;100,8;101,7;100,5;101,7;103,5;338400;466900;368900;539300;269300;209700
Jun 2005;102,1;101,1;101,9;100,7;102;105;340400;468200;369800;540700;270100;212900
Jul 2005;103,5;102,6;103,8;102,2;103,7;106,3;345200;475300;376700;548700;274700;215500
Aug 2005;105;104,2;105,5;103,7;105,2;107,2;350100;482400;382700;556800;278700;217300
Sep 2005;107;105,7;107,1;105,2;106,6;111,6;356600;489500;388600;564600;282500;226200
Oct 2005;108,5;107,4;108,6;106,9;107,9;112,7;361900;497200;394100;573700;285800;228400
Nov 2005;110,2;109;110,1;108,6;109,1;114,2;367300;505000;399500;582900;289000;231400
Dec 2005;111,8;110,7;111,6;110,3;110,3;115,8;372700;512600;404900;592100;292300;234700
Jan 2006;113,6;112,3;113,3;111,8;112,2;118,2;378700;520200;411300;600400;297100;239600
Feb 2006;115,3;113,8;114,9;113,3;114;120,4;384500;527200;417100;608400;301900;244100
Mar 2006;116,9;115,3;116,5;114,8;115,9;122,2;389600;534000;422900;616200;306900;247700
Apr 2006;118,7;117;118,2;116,5;117,4;124,2;395700;541900;429100;625300;311100;251700
May 2006;120,5;118,8;120;118,3;119,4;126,3;401800;550000;435400;634900;316200;256000
Jun 2006;122,3;120,7;121,6;120,2;121,1;127,9;407900;558800;441200;645200;320900;259300
Jul 2006;124;122,1;123,1;121,8;122,8;129,9;413300;565600;446900;653800;325200;263300
Aug 2006;125,5;123,6;124,5;123,4;124,2;131,7;418400;572500;451700;662400;328900;267000
Sep 2006;126,8;125,1;125,7;125;125,6;133,1;422700;579300;456200;671000;332800;269800
Oct 2006;128;126,1;126,9;125,9;127;134,2;426600;584200;460500;675900;336300;272000
Nov 2006;129;127,2;128,3;126,8;128,4;134,9;430100;589200;465500;680600;340000;273400
Dec 2006;129,9;128,2;129,4;127,6;129,7;134,9;433100;593800;469700;685200;343600;273400
Jan 2007;131;129,3;130,4;128,7;130,5;136,5;436900;598700;473300;691000;345700;276600
Feb 2007;132,2;130,3;131,2;129,8;131,2;138,2;440600;603200;476100;696800;347500;280200
Mar 2007;133,1;131,1;132,1;130,7;131,9;139,7;443600;607100;479300;701800;349300;283200
Apr 2007;134,4;132,4;133,1;132,1;132,8;141;448000;613000;483200;709300;351800;285800
May 2007;135,5;133,7;134,2;133,6;133,8;142,3;451900;619100;487000;717100;354400;288400
Jun 2007;137,1;135,3;135,2;135,3;134,7;143,5;457000;626700;490800;726500;356900;290900
Jul 2007;138,4;136,5;136,6;136,6;135,9;145,3;461400;632300;495700;733400;360000;294600
Aug 2007;139,8;137,8;137,8;138;136,9;147,2;466000;638200;500000;740700;362700;298400
Sep 2007;140,9;139,1;138,9;139,3;138,1;148,9;469900;644000;504000;747800;365700;301800
Oct 2007;142,6;140,6;140,1;141;139,3;150,4;475400;651200;508600;756700;369100;304900
Nov 2007;144,2;142;141,2;142,6;140,8;152,9;480900;657800;512300;765500;372900;310000
